[2026-03-02 14:15:32] Batch-Import gestartet (YEAR=2023, STMT_DIR=/Users/robin/Documents/Projects/buchhaltung/2023/auszuege)
[2026-03-02 14:15:32] Logs: /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022
[2026-03-02 14:15:32] Gefundene PDFs: 172
[2026-03-02 14:15:32] Verarbeite Bereich: 1-172 (Anzahl: 172)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0037.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0038.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0039.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0040.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0041.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0042.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0043.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0044.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0045.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0046.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0047.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0048.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0049.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0050.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0051.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0052.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0053.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0054.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0055.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0056.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0057.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0058.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0059.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] START [60/172] 2023/auszuege/Konto_0101173915-Auszug_2023_0060.pdf (global 60/172)
[2026-03-02 14:15:32] LIVE-OUTPUT -> /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022/Konto_0101173915-Auszug_2023_0060.log
[2026-03-02 14:16:28] OK 2023/auszuege/Konto_0101173915-Auszug_2023_0060.pdf (Dauer 56s, Log: /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022/Konto_0101173915-Auszug_2023_0060.log)
[2026-03-02 14:16:28] START [61/172] 2023/auszuege/Konto_0101173915-Auszug_2023_0061.pdf (global 61/172)
[2026-03-02 14:16:28] LIVE-OUTPUT -> /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022/Konto_0101173915-Auszug_2023_0061.log
[2026-03-02 14:17:21] FEHLER 2023/auszuege/Konto_0101173915-Auszug_2023_0061.pdf (Exit 101, Dauer 53s), siehe /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022/Konto_0101173915-Auszug_2023_0061.log
[2026-03-02 14:17:21] FERTIG range=1-172 processed=1 skipped=59 failed=1
